	(1)	(2)	(3)	(4)	(5)	(6)
	gmm1	gmm2	gmm3	gmm4	gmm5	gmm6
VARIABLES	inv_at	inv_at	inv_at	inv_at	inv_at	inv_at
						
inv_atL1	-0.083***	-0.155***	-0.059**	-0.145***	-0.018	-0.114***
	(0.0208)	(0.0522)	(0.0264)	(0.0519)	(0.0160)	(0.0317)
SQinv_atL1		0.036*		0.066***		0.036*
		(0.0189)		(0.0238)		(0.0189)
ln_pu	-0.026*	-0.056***	-0.035**	-0.034**	-0.035**	-0.038**
	(0.0132)	(0.0214)	(0.0158)	(0.0160)	(0.0159)	(0.0150)
fc_at	0.734***	0.754**	0.841***	0.846***	1.221***	0.590***
	(0.2472)	(0.3477)	(0.1875)	(0.1741)	(0.2074)	(0.1749)
d_at	1.237***	1.172***	0.942***	0.995***	1.120***	1.282***
	(0.0654)	(0.1120)	(0.1244)	(0.1135)	(0.0659)	(0.0514)
cv	0.055	0.107	0.002	0.001	-0.048	0.061*
	(0.0397)	(0.1235)	(0.0026)	(0.0024)	(0.0400)	(0.0341)
tam	-0.162***	-0.117	-0.013	-0.013	-0.059**	-0.035**
	(0.0552)	(0.0720)	(0.0272)	(0.0249)	(0.0237)	(0.0164)
Constant	2.970**	2.165	0.007	-0.040	0.741	0.181
	(1.2102)	(1.6113)	(0.5846)	(0.5536)	(0.5295)	(0.3691)
						
Observations	2,146	2,146	1,076	1,076	1,070	1,070
Number of firm_id	251	251	189	189	204	204
ar1p	0.221	0.399	0.0259	0.0321	0.00457	0.0787
ar2p	0.374	0.932	0.138	0.326	0.773	0.819
hansenp	0.0930	0.0691	0.263	0.502	0.120	0.630
sarganp	0.881	0.742	0.426	0.686	0.108	0.945
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
