	(1)	(2)	(3)	(4)	(5)	(6)
	Amostra_completa1	Amostra_completa2	Restritas1	Restritas2	Não_restritas1	Não_restritas2
VARIABLES	inv_at	inv_at	inv_at	inv_at	inv_at	inv_at
						
inv_atL1	-0.040**	-0.136**	-0.061**	-0.102	-0.047**	-0.282***
	(0.0198)	(0.0576)	(0.0261)	(0.0667)	(0.0212)	(0.0732)
SQinv_atL1		0.190**		0.070		0.323***
		(0.0864)		(0.0645)		(0.0906)
ln_pu	-0.033***	-0.040***	-0.019	-0.029	-0.034**	-0.041***
	(0.0111)	(0.0128)	(0.0291)	(0.0326)	(0.0135)	(0.0133)
fc_at	0.826***	1.166***	1.741***	1.758***	0.983***	1.088***
	(0.1719)	(0.2265)	(0.3507)	(0.2734)	(0.1952)	(0.2596)
d_at	0.941***	0.960***	1.180***	1.257***	1.073***	1.063***
	(0.0930)	(0.0880)	(0.0616)	(0.0543)	(0.1210)	(0.1814)
cv	0.166***	0.078***	0.047	0.004	0.053	0.061
	(0.0447)	(0.0294)	(0.0541)	(0.0338)	(0.0327)	(0.0417)
tam	-0.054	-0.072**	-0.065	-0.147*	0.164**	0.027
	(0.0406)	(0.0344)	(0.0580)	(0.0884)	(0.0674)	(0.0600)
Constant	-2.079	1.315*	0.549	2.639	-5.887	-1.042
	(7.2571)	(0.7829)	(1.9087)	(2.5980)	(8.7624)	(1.3047)
						
Observations	2,146	2,146	850	850	859	859
Number of firm_id	251	251	184	184	168	168
ar1p	1.25e-06	5.95e-05	0.00844	0.00700	0.0172	0.0178
ar2p	0.119	0.680	0.324	0.469	0.208	0.176
hansenp	0.119	0.263	0.436	0.313	0.234	0.326
sarganp	0.0796	0.0669	4.79e-07	2.42e-06	0.0704	0.0505
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
