	(1)	(2)	(3)	(4)	(5)	(6)
	Amostra_completa1	Amostra_completa2	Não_restritas1	Não_restritas2	Restritas1	Restritas2
VARIABLES	inv_at	inv_at	inv_at	inv_at	inv_at	inv_at
						
inv_atL1	-0.064**	-0.115**	-0.085**	-0.232***	-0.061**	-0.109***
	(0.0271)	(0.0445)	(0.0388)	(0.0743)	(0.0240)	(0.0412)
SQinv_atL1		0.033*		0.080**		0.049**
		(0.0176)		(0.0309)		(0.0220)
ln_pu	-0.045***	-0.047***	-0.039**	-0.039*	-0.056***	-0.055**
	(0.0143)	(0.0132)	(0.0194)	(0.0205)	(0.0203)	(0.0260)
fc_at	0.641***	0.677***	0.611***	0.621**	1.439***	1.448***
	(0.2034)	(0.1970)	(0.2257)	(0.2717)	(0.2120)	(0.2529)
d_at	1.110***	1.080***	1.191***	1.399***	1.133***	1.168***
	(0.0923)	(0.1032)	(0.1909)	(0.2241)	(0.0623)	(0.0681)
cv	0.058**	0.060**	0.011	0.039	0.017	0.005
	(0.0267)	(0.0262)	(0.0339)	(0.0365)	(0.0275)	(0.0322)
tam	-0.011	-0.012	0.067	0.042	-0.060	-0.085
	(0.0411)	(0.0387)	(0.0701)	(0.0585)	(0.0823)	(0.0691)
Constant	0.028	0.049	-1.897	-1.461	0.890	1.540
	(0.8470)	(0.7999)	(1.7167)	(1.3968)	(1.7666)	(1.5673)
						
Observations	1,475	1,475	752	752	723	723
Number of firm_id	239	239	151	151	170	170
ar1p	0.0503	0.0487	0.115	0.116	0.0146	0.0132
ar2p	0.211	0.327	0.309	0.400	0.819	0.884
hansenp	0.236	0.305	0.918	0.896	0.165	0.151
sarganp	0.0504	0.0612	0.228	0.313	0.103	0.0783
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
