"Código","Quarter","NOME","CLASSE","SETOR_ECONOMATICA","SETOR_NAICS","SEGMENTO_LIST_BOVESPA","SETOR_ECON_BOVESPA","SEGMENTO_BOVESPA","SUBSETOR_BOVESPA","ID_CVM","PU","AT","K","LL","D_CP","D_LP","V","DEP","CAIXA","PL","DESP_FIN","EBIT","V_MERC","QTD_ACOES","DIV_PAGOS"
"CAML3",71,"Camil","ON","Alimentos e Beb","Outras indústrias de alimentos","Novo Mercado","Consumo não cíclico","Alimentos diversos","Alimentos processados","02422",301.128428141276,4151269200.1,877119937.63,111397100.51,1139074747.1,1502314711.4,2619826817.8,48056706.528,221866952.62,1509879741.6,117468657.28,217058428.89,4043210818.8,410051876,109733540.04
"CAML3",72,"Camil","ON","Alimentos e Beb","Outras indústrias de alimentos","Novo Mercado","Consumo não cíclico","Alimentos diversos","Alimentos processados","02422",228.669570922852,3992196056.4,873017804.96,188678421.85,728277493.22,1282744543.9,3858545259.7,72899445.49,203918481.43,1981174019.2,160452543.36,330160311.37,3477798316.1,410051876,108795399.65
"CAML3",73,"Camil","ON","Alimentos e Beb","Outras indústrias de alimentos","Novo Mercado","Consumo não cíclico","Alimentos diversos","Alimentos processados","02422",111.55797068278,4070851133.5,886103321.53,269868609.39,710332636.45,1399906066.3,5020170879.4,97124276.859,297646240.85,1960612430.8,194970959.47,430185625.15,3264314179,407349976,177640757.78
"CAML3",74,"Camil","ON","Alimentos e Beb","Outras indústrias de alimentos","Novo Mercado","Consumo não cíclico","Alimentos diversos","Alimentos processados","02422",161.417689005534,4732679038.4,925445401.42,34805744.698,1280845846,1398962383.5,1073670474.1,26365947.579,611763959,2052870808.8,45554593.339,61246522.65,2817139299.5,404317405,0
"CAML3",75,"Camil","ON","Alimentos e Beb","Outras indústrias de alimentos","Novo Mercado","Consumo não cíclico","Alimentos diversos","Alimentos processados","02422",147.530364990234,4628441424.6,962229593.07,117567421.52,1098538334.4,1378710269.7,2264336890.4,52998072.094,388730463.94,2151192820.6,112856551.99,175108907.69,2974325765,404230305,0
"CAML3",76,"Camil","ON","Alimentos e Beb","Outras indústrias de alimentos","Novo Mercado","Consumo não cíclico","Alimentos diversos","Alimentos processados","02422",239.847081502279,4514353906.5,913442702.72,273882446.61,962338257.52,1365367665.9,3572810454.5,77518082.576,232797883.76,2186647983.2,178457638.86,307389197.06,2975449754.3,404230305,20912963.708
"CAML3",77,"Camil","ON","Alimentos e Beb","Outras indústrias de alimentos","Novo Mercado","Consumo não cíclico","Alimentos diversos","Alimentos processados","02422",146.677968343099,4597691174,1007102102.9,375540048.48,1147824825.7,1202022048.6,4921186385.6,105096953.13,378560850.11,2247844299.8,225786009.66,395845224.19,2810915393.3,404230305,67359213.082
"CAML3",78,"Camil","ON","Alimentos e Beb","Outras indústrias de alimentos","Novo Mercado","Consumo não cíclico","Alimentos diversos","Alimentos processados","02422",165.309499104818,5772612766.8,1092776265.5,50860771.321,1688151878.5,1797726126.5,1263630827.9,34426064.116,644228265.34,2286734761.9,51683017.393,50294902.596,2956573112.4,403182505,20428473.841
"CAML3",79,"Camil","ON","Alimentos e Beb","Outras indústrias de alimentos","Novo Mercado","Consumo não cíclico","Alimentos diversos","Alimentos processados","02422",142.856068929036,5488470835.6,1115357189.2,91551155.312,1672838749.6,1515918059.3,2505625465.2,68693150.724,539336084.54,2299714026.7,101603463.81,106118449.21,2742743069.9,400665030,26474880.58
"CAML3",80,"Camil","ON","Alimentos e Beb","Outras indústrias de alimentos","Novo Mercado","Consumo não cíclico","Alimentos diversos","Alimentos processados","02422",177.479120890299,5239581916.3,1108590296.4,157953619.36,1552665701.6,1537193830.5,3952957271.5,104756342.89,306144802.92,2149722384.1,144915775.98,203706051.35,3336965311,3.7e+08,56699481.967
"EALT4",54,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",135.706354777018,379277242.11,238210385.69,7453837.9195,73689951.576,208423697.1,129882516.65,7065452.9789,27123887.034,97163593.43,5794244.7046,14555119.767,67007150.919,2250000,785368.80983
"EALT4",55,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",158.755968729655,387375164.59,240289566.35,11502723.897,74693641.236,212022719.09,192756083.85,10545587.882,23434164.968,100658804.26,8592859.4939,21811876.395,88308968.928,2250000,780521.63147
"EALT4",56,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",110.412976582845,365727458.54,236540195.93,12863592.591,67913515.746,201476577.28,251748714.25,13797375.517,1215732.3293,96337365.521,14817697.368,25279136.873,80711506.249,2250000,764892.4414
"EALT4",57,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",185.944798787435,367390514.35,239017829.79,4316793.1217,68589198.053,200198111.39,66859748.657,3322291.4152,1221269.9528,98603204.913,3749872.506,8727845.3337,70141057.859,2250000,0
"EALT4",58,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",108.214881896973,360201784.14,235948575.61,6843983.2367,66693520.151,193805675.88,128410454.1,6620649.0088,11243398.448,99702588.111,5849742.3065,13928790.731,78138578.538,2250000,3577383.807
"EALT4",59,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",160.586461385091,362120225.49,233900084.41,9524177.5623,69171040.769,191332161.07,184029579.98,9965828.2731,17608653.865,101617023.64,7760243.3038,18143705.028,64712503.458,2250000,3547882.8997
"EALT4",60,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",139.792752583822,358107094.18,228517874.87,8880466.1781,69730679.699,191950554.98,224733510.78,13189525.468,21017977.78,96425859.491,10417823.1,17482843.903,60585786.822,2250000,3636137.7025
"EALT4",61,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",271.400217692057,353489484.42,217462796.15,-3398487.879,76179190.383,187837836.2,45535947.444,3238038.823,18815494.417,89472457.841,4881694.1132,-1233057.3122,44031895.466,2250000,116230.81222
"EALT4",62,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",153.037785847982,327589379.27,210319774.7,-5087773.8614,65796356.724,176100233.02,89923128.936,6282498.8066,12405618.587,85692789.523,8616351.3622,-908089.798,46174120.106,2250000,2600719.7616
"EALT4",63,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",310.614451090495,330754461.78,204503063.56,-2888099.8983,63054410.566,181048524.01,139079679.92,9193175.3726,10777365.19,86651527.203,12796597.904,5934618.7785,45171765.164,2250000,2565168.8971
"EALT4",64,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",264.21462504069,319283789.07,197012859.92,144598.33423,54933144.22,179258080.85,173798901.12,11823876.903,16065823.119,85092563.997,15110525.926,10153884.666,46872118.953,2250000,2513877.5975
"EALT4",65,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",317.297541300456,299568492.79,189920938.35,456210.33118,51351958.848,164840919.77,43730358.91,2774220.7987,7935749.8369,83375614.172,3295109.0503,3528411.5488,32977077.167,2250000,127045.91501
"EALT4",66,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",329.769571940104,289154915.87,185012652.35,-4012587.8942,52995672.873,158678270.7,78451485.07,5445087.448,8254466.5253,77480972.297,5138609.7305,-2331500.8585,33830542.853,2250000,1391635.8581
"EALT4",67,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",276.11435953776,279646499.98,181003177.64,-8709604.6886,51154463.962,157526675.8,100937274.71,8151282.2933,11279909.799,70965360.219,7259314.5231,-8060288.1002,31216063.496,2250000,2340011.1655
"EALT4",68,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",312.548034667969,272718801.48,177705572,-1841052.0728,52136007.639,143411377.3,131234339.97,10865664.08,6415246.8655,77171416.535,9499650.2776,3396635.1386,26520182.266,2250000,970148.57865
"EALT4",69,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",459.82953898112,271864765.69,174738176.69,-156835.71156,56692796.297,138893485.26,33615857.161,2581162.3796,2887102.4648,76278484.135,2039968.7271,459462.36625,41554643.418,2250000,0
"EALT4",71,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",301.128428141276,279428308.6,174062855.85,5666352.5273,66664002.046,131203669.68,132848138.97,7790686.9338,1210618.6277,81560636.87,6008174.2575,10901045.562,57766478.819,2250000,0
"EALT4",72,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",228.669570922852,274481997.73,167411033.36,33197544.875,104081365.56,64252543.947,182416436.3,10365025.675,1509964.0288,106148088.21,9033787.6617,52112173.19,80426706.7,2250000,2011480.0585
"EALT4",73,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",111.55797068278,279570261.63,166713842.67,3931473.611,106187434.98,64042683.263,62275402.513,2304026.3953,361415.90515,109340143.37,2044796.5348,6572176.1323,140347154.06,2250000,0
"EALT4",74,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",161.417689005534,300815314.1,163870515.56,6534804.4848,119396895.44,81147702.993,121950642.14,4591254.3949,4952304.9819,100270715.66,5619509.5755,11633852.249,137531769.67,22500000,3236786.8417
"EALT4",75,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",147.530364990234,315939016.68,169924682.83,10204767.559,131342360.12,81326840.563,192659009.9,7305590.5804,1360495.9216,103269816,8387279.1713,16591132.467,116515973.24,22500000,7430320.1757
"EALT4",76,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",239.847081502279,362412368.77,227365574.4,12788961.182,121360966.68,79611257.26,257847550.22,10367734.879,2014034.2984,161440144.82,12345226.306,21048694.378,98500662.028,22500000,6065072.7006
"EALT4",77,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",146.677968343099,355054925.13,202929818.83,5914342.0546,106186611.53,83910627.908,90408175.518,2400708.5835,5323936.4303,164957685.68,3790321.8211,9405346.7386,126392061.15,22500000,22628.786991
"EALT4",78,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",165.309499104818,352417217.53,186664898.9,10717748.451,106238890,81870157.579,170382990.59,4817573.799,4343680.5951,164308169.95,6725402.4733,16226756.947,106661559.57,22500000,0
"EALT4",79,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",142.856068929036,377567760.31,196398963.49,15424733.038,113103164,95848895.858,236636511.7,7789785.5995,9085536.5191,168615700.45,9809812.387,24796516.42,199802347,22500000,608147.24767
"EALT4",80,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",177.479120890299,368838918.88,190566474.46,16867505.311,118674125.84,87227354.33,299487056.2,10180962.347,4989882.7355,162937438.7,12693420.856,27100518.592,221799286.58,22500000,6578437.1791
"TIET11",65,"AES Tiete E","UNT N2","Energia Elétrica","Geração, transmissão e distribuição de energia elétrica","Nível 2","Utilidade pública","Energia elétrica","Energia elétrica","01897",317.297541300456,5140924500.6,3622014359.1,86000844.761,748344328.02,1975276392.7,442526331.17,49389676.943,629454.76075,2417303779.9,54819157.365,157429523.07,7047470068.3,1906268000,0
