"Código","year","Quarter","NOME","CLASSE","SETOR_ECONOMATICA","SETOR_NAICS","SEGMENTO_LIST_BOVESPA","SETOR_ECON_BOVESPA","SEGMENTO_BOVESPA","SUBSETOR_BOVESPA","ID_CVM","PU","AT","K","LL","D_CP","D_LP","V","DEP","CAIXA","PL","DESP_FIN","EBIT","V_MERC","QTD_ACOES","DIV_PAGOS"
"EALT4",2013,56,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",137.888738632202,365727458.54,236540195.93,12863592.591,67913515.746,201476577.28,251748714.25,13797375.517,1215732.3293,96337365.521,14817697.368,25279136.873,80711506.249,2250000,764892.4414
"EALT4",2014,60,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",148.63472366333,358107094.18,228517874.87,8880466.1781,69730679.699,191950554.98,224733510.78,13189525.468,21017977.78,96425859.491,10417823.1,17482843.903,60585786.822,2250000,3636137.7025
"EALT4",2015,64,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",249.816769917806,319283789.07,197012859.92,144598.33423,54933144.22,179258080.85,173798901.12,11823876.903,16065823.119,85092563.997,15110525.926,10153884.666,46872118.953,2250000,2513877.5975
"EALT4",2016,68,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",308.932376861572,272718801.48,177705572,-1841052.0728,52136007.639,143411377.3,131234339.97,10865664.08,6415246.8655,77171416.535,9499650.2776,3396635.1386,26520182.266,2250000,970148.57865
"EALT4",2017,72,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",346.490038553874,274481997.73,167411033.36,33197544.875,104081365.56,64252543.947,182416436.3,10365025.675,1509964.0288,106148088.21,9033787.6617,52112173.19,80426706.7,2250000,2011480.0585
"EALT4",2018,76,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",165.088276545207,362412368.77,227365574.4,12788961.182,121360966.68,79611257.26,257847550.22,10367734.879,2014034.2984,161440144.82,12345226.306,21048694.378,98500662.028,22500000,6065072.7006
"EALT4",2019,80,"Aco Altona","PN","Siderur & Metalur","Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos","00538",158.080664316813,368838918.88,190566474.46,16867505.311,118674125.84,87227354.33,299487056.2,10180962.347,4989882.7355,162937438.7,12693420.856,27100518.592,221799286.58,22500000,6578437.1791
"TIET11",2016,68,"AES Tiete E","UNT N2","Energia Elétrica","Geração, transmissão e distribuição de energia elétrica","Nível 2","Utilidade pública","Energia elétrica","Energia elétrica","01897",308.932376861572,4571495103.3,3444927350.6,399804919.94,923252488.45,1888483417.4,1741079934.5,179518746.24,80384057.978,1759759197.5,248970233.34,718552253.47,6160798247.7,1967385000,857261197.95
"TIET11",2017,72,"AES Tiete E","UNT N2","Energia Elétrica","Geração, transmissão e distribuição de energia elétrica","Nível 2","Utilidade pública","Energia elétrica","Energia elétrica","01897",346.490038553874,7385081335.5,5114967402.4,323090057.84,2162341062.9,3535469205.1,1871884209,229148414.85,145789518.32,1687271067.5,319833994.8,683066998.77,5497253661.1,1967081000,387372931.05
"TIET11",2018,76,"AES Tiete E","UNT N2","Energia Elétrica","Geração, transmissão e distribuição de energia elétrica","Nível 2","Utilidade pública","Energia elétrica","Energia elétrica","01897",165.088276545207,7937743508.2,5729182104.4,300657002.94,1504600558.1,4842511074.1,2008326301.8,292422327.71,159552444.45,1590631876,440518059.69,763336748.49,4165491930.8,1967385000,281965845.86
"TIET11",2019,80,"AES Tiete E","UNT N2","Energia Elétrica","Geração, transmissão e distribuição de energia elétrica","Nível 2","Utilidade pública","Energia elétrica","Energia elétrica","01897",158.080664316813,7806550921.6,5541010028.5,300412962.22,1905788866.1,4448170655.5,2051730674.1,313487756.26,31869184.861,1452591400,440235782.64,723778236.62,6979291916.3,1995532000,330690589.7
"BRGE3",2005,24,"Alfa Consorc","ON","Outros","Administração de empresas e empreendimentos","Tradicional","Financeiro","Bancos","Previdência e seguros","00470",120.291110356649,4862687873.7,13544225.613,62917213.057,2612588277.3,1012643018.2,22689938.752,5219820.1998,1802325145.1,866341015.45,34973845.605,104759795.9,509866220.6,73646000,0
"BRGE3",2006,28,"Alfa Consorc","ON","Outros","Administração de empresas e empreendimentos","Tradicional","Financeiro","Bancos","Previdência e seguros","00470",96.7511024475098,5508362087.3,10117568.079,86479953.887,3069716588.5,1106680287.8,24976218.785,10791665.308,1850264518.3,913731666.13,41227867.994,128426723.15,505944349.77,73646000,0
"BRGE3",2007,32,"Alfa Consorc","ON","Outros","Administração de empresas e empreendimentos","Tradicional","Financeiro","Bancos","Previdência e seguros","00470",113.58053334554,8668068767.2,10580725.474,150842113.37,5121406468.7,1980789014.8,39207368.582,3041446.792,2982479767.5,1012813479.6,42595852.251,333785137.91,806759656.71,73646000,0
"BRGE3",2008,36,"Alfa Consorc","ON","Outros","Administração de empresas e empreendimentos","Tradicional","Financeiro","Bancos","Previdência e seguros","00470",174.038621902466,9192797124,12591864.051,119733163.43,4276664624.5,3299151222.7,42906224.481,5001768.2205,3257622003.3,1060581045.3,43743841.169,236511657.02,683158804.29,73646000,15482101.852
"BRGE3",2009,40,"Alfa Consorc","ON","Outros","Administração de empresas e empreendimentos","Tradicional","Financeiro","Bancos","Previdência e seguros","00470",131.44704469045,9473476319,10698317.155,81703941.113,5025865386.8,2859030842.1,27068754.294,4999724.926,2772000685,1125998763,64117545.459,140894119.12,807906268.73,73646000,11690143.985
"BRGE3",2010,44,"Alfa Consorc","ON","Outros","Administração de empresas e empreendimentos","Tradicional","Financeiro","Bancos","Previdência e seguros","00470",92.7765544255574,7971424812.2,5313992.1522,84523969.247,3819407280.7,2592361668,18724782.005,1934633.0789,8640028.0054,1162729477.6,570411816.12,-118250905.95,696283659.62,73646000,8789999.5619
"BRGE3",2011,48,"Alfa Consorc","ON","Outros","Administração de empresas e empreendimentos","Tradicional","Financeiro","Bancos","Previdência e seguros","00470",133.884857654572,8271246022,4714148.1897,88615972.509,4317934439,2338212808.3,24140256.362,1516100.0982,9522172.5464,1182672292.6,651294071.9,-117700373.66,550164247.66,73646388,5778078.0832
"BRGE3",2012,52,"Alfa Consorc","ON","Outros","Administração de empresas e empreendimentos","Tradicional","Financeiro","Bancos","Previdência e seguros","00470",117.530190149943,9564709964.3,4564964.795,93360034.541,5018690955.8,2907884052.7,40824503.814,1413246.8731,7466851.4182,1210837694.1,559103228.68,-142287055.21,379750476.52,73646388,7861555.3043
"BRGE3",2013,56,"Alfa Consorc","ON","Outros","Administração de empresas e empreendimentos","Tradicional","Financeiro","Bancos","Previdência e seguros","00470",137.888738632202,3530245212.8,1404163.8614,73336156.503,1628060999.4,122515390.59,38779209.306,728601.92411,7415827.6299,1207047729.4,134622465.48,43625389.154,413248367.92,73646388,5891625.9036
"BRGE3",2014,60,"Alfa Consorc","ON","Outros","Administração de empresas e empreendimentos","Tradicional","Financeiro","Bancos","Previdência e seguros","00470",148.63472366333,3753794041.3,1525551.2799,53891443.495,1526262241.9,460695498.73,32368446.59,759496.295,2825483.626,1195191379.4,156163719.2,25538226.887,289853983.9,73646388,4676345.9269
"BRGE3",2015,64,"Alfa Consorc","ON","Outros","Administração de empresas e empreendimentos","Tradicional","Financeiro","Bancos","Previdência e seguros","00470",249.816769917806,3596600293.4,2173715.9424,76121541.114,1369503861,468285261.1,32832118.496,836773.96693,2049266.5564,1184867196.2,178094182.78,24480972.078,403116604.2,73646388,6857753.7857
"BRGE3",2016,68,"Alfa Consorc","ON","Outros","Administração de empresas e empreendimentos","Tradicional","Financeiro","Bancos","Previdência e seguros","00470",308.932376861572,3621366153.9,2235802.1841,68217056.665,1430382603.9,471456525.6,34073402.263,931119.61284,2114254.8335,1164406892.6,186909717.25,9166231.3983,237978596.66,73646388,4131494.8091
"BRGE3",2017,72,"Alfa Consorc","ON","Outros","Administração de empresas e empreendimentos","Tradicional","Financeiro","Bancos","Previdência e seguros","00470",346.490038553874,3402482968.6,2080804.0885,55445142.571,1400810094,271562806.15,27398156.489,1008447.9991,4256928.7183,1181491610,139453951.88,-6881493.1672,270894734.48,73646388,4329502.3122
"BRGE3",2018,76,"Alfa Consorc","ON","Outros","Administração de empresas e empreendimentos","Tradicional","Financeiro","Bancos","Previdência e seguros","00470",165.088276545207,3301472052,1808350.1321,55364539.524,1382702933.2,157071705.47,27146133.623,1431436.5076,2973545.7138,1195858183.7,94004972.572,16094524.992,274365126.18,73646388,4181548.66
"BRGE3",2019,80,"Alfa Consorc","ON","Outros","Administração de empresas e empreendimentos","Tradicional","Financeiro","Bancos","Previdência e seguros","00470",158.080664316813,3325059661,2330280.2424,50219140.79,811199780.97,752042894.35,28790171.964,1365336.0183,5874748.6007,1192465860.2,86018171.111,13300014.424,952243980.93,73646388,4218127.5521
"ALSO3",2011,48,"Alianscsonae","ON","Outros","Locadora de imóveis","Novo Mercado","Financeiro","Exploração de imóveis","Exploração de imóveis","02235",133.884857654572,5118443113.8,9343807.829,361501473.36,196091666.98,1119748662.4,342937461.32,2295272.2849,611631391.31,3040645922.2,-36236200.489,704780018.09,2869750530.8,76423831,4598367.5836
"ALSO3",2012,52,"Alianscsonae","ON","Outros","Locadora de imóveis","Novo Mercado","Financeiro","Exploração de imóveis","Exploração de imóveis","02235",117.530190149943,6016175677.4,5166629.5202,274268938.92,408039555.6,1650391472.3,379700703.55,2646142.1577,1008159466,3092145722.7,97209506.15,615946501.44,3643499080.6,76423831,36153102.016
"ALSO3",2013,56,"Alianscsonae","ON","Outros","Locadora de imóveis","Novo Mercado","Financeiro","Exploração de imóveis","Exploração de imóveis","02235",137.888738632202,6322976387.9,4414881.0076,315379948.96,313319764.21,1871757406.2,384894434.83,3252188.6651,592416174.81,3113462579.6,108745930.85,764671906.72,1944622398.9,76423831,37334567.56
"ALSO3",2014,60,"Alianscsonae","ON","Outros","Locadora de imóveis","Novo Mercado","Financeiro","Exploração de imóveis","Exploração de imóveis","02235",148.63472366333,6220698347.4,4403504.4254,205903511.96,246117463.46,1817096853.4,418082378.46,3264915.8519,414425252.95,3086267631.9,135595667.55,554015162.67,1654092698,76423831,45611753.316
"ALSO3",2015,64,"Alianscsonae","ON","Outros","Locadora de imóveis","Novo Mercado","Financeiro","Exploração de imóveis","Exploração de imóveis","02235",249.816769917806,5808635979.7,4033345.3392,115108570.67,286397149.89,1600388288.1,392525215.82,3190645.211,314258404.34,2866532785.8,135301372.48,397256662.95,1465584222,76423831,41214080.952
"ALSO3",2016,68,"Alianscsonae","ON","Outros","Locadora de imóveis","Novo Mercado","Financeiro","Exploração de imóveis","Exploração de imóveis","02235",308.932376861572,5562275508.4,3202605.4229,107401023.22,250739918.16,1455289774.8,381696594.92,2953935.155,285520302.26,2761795556.3,110652693.63,430925502.16,1468361811.1,76423831,38775835.087
"ALSO3",2017,72,"Alianscsonae","ON","Outros","Locadora de imóveis","Novo Mercado","Financeiro","Exploração de imóveis","Exploração de imóveis","02235",346.490038553874,5768691922.3,3590768.1173,149935961.86,342899399.42,1509958612.9,384375749.94,2484833.2009,485732897.76,2800166549.7,98159576.941,414194831.54,2098507838.2,76423831,37665695.247
"ALSO3",2018,76,"Alianscsonae","ON","Outros","Locadora de imóveis","Novo Mercado","Financeiro","Exploração de imóveis","Exploração de imóveis","02235",165.088276545207,5747935906.4,3346283.0101,197601927.05,266316099.83,1402669958.6,390603628.54,2025519.2011,292494369.38,2888559522.1,77269381.193,584992915.08,2056259195.5,76423831,36305865.557
"ALSO3",2019,80,"Alianscsonae","ON","Outros","Locadora de imóveis","Novo Mercado","Financeiro","Exploração de imóveis","Exploração de imóveis","02235",158.080664316813,10917229805,10391168.039,22048575.128,239744596.58,3154040313.9,743913939.95,119040484.34,32714011.547,6449942443.5,208089621.33,254296836.35,13338899563,265772778,85652813.599
"ALPA4",2005,24,"Alpargatas","PN","Textil","Indústria de calçados","Nível 1","Consumo cíclico","Calçados","Tecidos vestuário e calçados","01045",120.291110356649,2391156572.7,570747953.89,347100188.77,484787912.83,520102044.5,2850414628.5,101138480,629132220.47,1376154657.8,71155496.688,399672285.34,2784369209.5,18533000,144587969.27
