"Ativo","Nome","Código","Ativo Tot| < Set 2000| personalizado| consolid:sim*","Imobil| < Set 2000| personalizado| consolid:sim*","Lucro Liquido| < Set 2000| personalizado| no exercício| consolid:sim*","PasCir| < Set 2000| personalizado| consolid:sim*","PasNoCir| < Set 2000| personalizado| consolid:sim*","Receita| < Set 2000| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Set 2000| personalizado| no exercício| consolid:sim*","DeprAmor| < Set 2000| personalizado| no exercício| consolid:sim*","Depr e Amor| < Set 2000| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Set 2000| personalizado| consolid:sim*","DpInCP| < Set 2000| personalizado| consolid:sim*","DivPag| < Set 2000| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Set00","Dividendos| < Set 2000| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Set00|1 tri","Divid por Ação|30Set00|1 tri","Patrim Liq| < Set 2000| personalizado| consolid:sim*","Valor Mercado|da empresa|30Set00|personalizado","DesFin| < Set 2000| personalizado| no exercício| consolid:sim*","LucOpe| < Set 2000| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Set 2000| personalizado| no exercício| consolid:sim*","EBIT| < Set 2000| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Set 2000| de 12 meses| consolid:sim*","EBIT/FinB| < Set 2000| de 12 meses| consolid:sim*","Fechamento|30Set00|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",150520912.04,0,383623.08734,824789.63778,0,0,"-","-","-","-",12953672.915,"-",49123000,"-","-","-",149696122.4,"-",0,460347.70481,-1051766.6311,-1051766.6311,-0.62312515869,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",106877392.13,77904258.461,-30076050.047,254003239.85,12298316.808,91164829.847,"-","-","-","-",204598.97991,"-",2250000,"-","-",0,-159424164.52,"-",24999437.858,-29056252.007,-5297195.4643,-6316993.5048,0.23040264904,-0.22144923398,"-"
"AESL3<XBSP>","AES Sul","AESL3",6660118781.6,2621267784.1,-326846870.41,1104159954.3,5076519480.2,1861678086.8,"-","-","-","-",22326863.683,"-",537163000,"-",0,0,479439347.12,1463006475.7,996147677.17,-485861836.97,204324050.03,202591352.42,-0.4266186205,0.18900159641,"-"
"TIET11<XBSP>","AES Tiete E","TIET11","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",88658.492343,0,0,211740.76306,137464.93963,0,"-","-","-","-",95.905771835,"-",1000,"-","-","-",-260547.21034,"-",0,0,0,0,"-","-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",939662374.42,249355.00677,30056868.893,13129500.164,0,2077958.3897,"-","-","-","-",18122994.018,"-",75606000,"-",1.2670964577,0.092356616459,926532874.26,552277484.2,28771.73155,30478854.289,-9104654.6062,29206504.383,4.7216547497,-45.097560975,7.2888386594
"RPAD3<XBSP>","Alfa Holding","RPAD3",844290478.05,124677.50338,26214244.301,11300896.781,47952.885917,1093325.7989,"-","-","-","-",23711103.657,"-",84682000,"-",1.4705870005,0.092356616459,832941628.38,534302773.21,19181.154367,26380480.973,-8187156.0556,24398428.355,3.1980777267,-34.31838565,"-"
"ALSO3<XBSP>","Alianscsonae","ALSO3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
