"Ativo","Nome","Código","Ativo Tot| < Dez 2009| personalizado| consolid:sim*","Imobil| < Dez 2009| personalizado| consolid:sim*","Lucro Liquido| < Dez 2009| personalizado| no exercício| consolid:sim*","PasCir| < Dez 2009| personalizado| consolid:sim*","PasNoCir| < Dez 2009| personalizado| consolid:sim*","Receita| < Dez 2009| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Dez 2009| personalizado| no exercício| consolid:sim*","DeprAmor| < Dez 2009| personalizado| no exercício| consolid:sim*","Depr e Amor| < Dez 2009| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Dez 2009| personalizado| consolid:sim*","DpInCP| < Dez 2009| personalizado| consolid:sim*","DivPag| < Dez 2009| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Dez09","Dividendos| < Dez 2009| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Dez09|1 tri","Divid por Ação|30Dez09|1 tri","Patrim Liq| < Dez 2009| personalizado| consolid:sim*","Valor Mercado|da empresa|30Dez09|personalizado","DesFin| < Dez 2009| personalizado| no exercício| consolid:sim*","LucOpe| < Dez 2009| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Dez 2009| personalizado| no exercício| consolid:sim*","EBIT| < Dez 2009| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Dez 2009| de 12 meses| consolid:sim*","EBIT/FinB| < Dez 2009| de 12 meses| consolid:sim*","Fechamento|30Dez09|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",1122423.2449,0,-236485.40066,0,0,0,"-",0,0,"-",49414.85984,0,161956000,"-","-","-",1122423.2449,"-",0,-236485.40066,-285900.2605,-285900.2605,-5.7857142857,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",252714652.49,89899748.581,3469629.0873,93898822.595,195516952.22,217243607.2,16160423.984,16160423.984,16160423.984,"-",40350762.692,0,2250000,"-",0,0,-36701122.33,133817205.26,26069868.199,5333275.2299,26202229.43,26202229.43,-1.2555602537,1.005077173,5.947431345
"AESL3<XBSP>","AES Sul","AESL3",3958541475.4,1512491794.8,277012645,1200634614.4,1675442589.6,2527877158.9,"-",181952573.2,181952573.2,"-",175770421.27,0,278481,"-","-",0,1082464271.5,"-",201688515.25,200945527.54,281117608,281117608,-3.5064277538,1.3938206032,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",30135182832,13938400100,1106910508.6,8172684843,11821366910,14850984907,"-",1150337346.3,1150337346.3,"-",4268400883.7,-2875648353.5,650000000,"-","-","-",6143874825.9,"-",926969826.11,4361048451.4,4302435368.4,4029248845.4,12.143621548,4.3466882437,"-"
"AFLT3<XBSP>","Afluente T","AFLT3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",9487.6530893,0,-142074.78131,54.709309109,0,0,"-",0,0,"-",9487.6530893,0,894000,"-","-","-",9432.9437802,"-",0,-142074.78131,-142074.78131,-142074.78131,"-","-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",9473476319,10698317.155,81703941.113,5025865386.8,2859030842.1,27068754.294,"-",4999724.926,4999724.926,"-",2772000685,-11690143.985,73646000,"-",0,0,1125998763,807906268.73,64117545.459,174965664.98,119308649.45,140894119.12,4.1352429297,2.1974346976,11.030102642
"RPAD3<XBSP>","Alfa Holding","RPAD3",990178491.11,1764.8164229,71688607.913,10682433.807,0,273546.54554,"-",0,0,"-",16693398.544,-11686614.352,84682000,"-",0,0,979496057.3,761954913.03,0,73974045.181,-1870705.4082,72189815.777,40.459940653,"-",9.653545833
"ALSO3<XBSP>","Alianscsonae","ALSO3",1890753722.8,1573872110,46365257.061,343602698.27,260988111.88,272030568.24,"-",55588187.687,55588187.687,"-",152218946.1,0,"-","-","-","-",1143985772,"-","-",104011220.69,124128363.1,125042538,-5.9455399849,"-","-"
