"Ativo","Nome","Código","Ativo Tot| < Mar 2017| personalizado| consolid:sim*","Imobil| < Mar 2017| personalizado| consolid:sim*","Lucro Liquido| < Mar 2017| personalizado| no exercício| consolid:sim*","PasCir| < Mar 2017| personalizado| consolid:sim*","PasNoCir| < Mar 2017| personalizado| consolid:sim*","Receita| < Mar 2017| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Mar 2017| personalizado| no exercício| consolid:sim*","DeprAmor| < Mar 2017| personalizado| no exercício| consolid:sim*","Depr e Amor| < Mar 2017| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Mar 2017| personalizado| consolid:sim*","DpInCP| < Mar 2017| personalizado| consolid:sim*","DivPag| < Mar 2017| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|31Mar17","Dividendos| < Mar 2017| personalizado| no exercício| consolid:sim*","Div Yld (fim)|31Mar17|1 tri","Divid por Ação|31Mar17|1 tri","Patrim Liq| < Mar 2017| personalizado| consolid:sim*","Valor Mercado|da empresa|31Mar17|personalizado","DesFin| < Mar 2017| personalizado| no exercício| consolid:sim*","LucOpe| < Mar 2017| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Mar 2017| personalizado| no exercício| consolid:sim*","EBIT| < Mar 2017| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Mar 2017| de 12 meses| consolid:sim*","EBIT/FinB| < Mar 2017| de 12 meses| consolid:sim*","Fechamento|31Mar17|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3",4241428088.3,883294712.72,223142788.24,1561614198.9,1173169630,5478314838.3,"-",95885706.512,95885706.512,154678938.88,"-",-173530773.65,123017292,"-","-","-",1506644259.4,"-",249002332.53,"-","-",509763532.98,-2.9136152493,2.0472239268,"-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",130328.26734,0,-35343.258942,0,0,0,"-",0,0,71790.994726,"-",0,176262000,"-","-","-",130328.26734,"-",0,-35343.258942,-38656.689468,-38656.689468,-7.8,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",271864765.69,174738176.69,-156835.71156,56692796.297,138893485.26,33615857.161,"-",2581162.3796,10690231.353,2887102.4648,"-",0,2250000,"-",0,0,76278484.135,41554643.418,2039968.7271,"-","-",459462.36625,-0.095694899395,0.052482997563,"-"
"AESL3<XBSP>","AES Sul","AESL3",4289273367.9,25998280.382,28687681.492,1021180511.9,1669247761.6,846578185.91,"-",0,-38117704.769,237421655.37,"-",0,526451,"-","-",0,1598845094.3,"-",58517392.039,"-","-",82824718.377,-0.44691729633,0.30663196384,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",4699191111.9,3395870886.2,139164082.08,1029855073,1785308397.1,445287510.46,"-",47851459.177,178427129.34,88564684.524,"-",-9688470.8575,1967385000,"-",0,0,1884027641.7,5901811158.6,56580139.659,210016271.49,245059112.74,245059112.74,-5.065136838,3.2151581488,15.095261022
"AFLT3<XBSP>","Afluente T","AFLT3",102711928.39,0,6463398.479,37005496.589,8209576.3661,8684501.4081,"-",0,0,47260564.066,"-",0,63085000,"-",0,0,57496855.438,312229997.86,118179.02208,7418770.9473,6081249.4917,6081249.4917,3.9600166597,32.561643836,"-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",109995.95316,0,-31204.784215,65.164133674,0,0,"-",0,0,106238.52294,"-",0,65674000,"-","-","-",109930.78903,"-",0,-31204.784215,-32466.096769,-32466.096769,-16.648023618,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",3620247565.6,2064267.2176,10309186.842,1497506030.6,406943387.93,5869189.938,"-",260656.5347,960894.85248,1393849.7745,"-",-2939012.8764,73646388,"-",0.089006314062,0.0040701635771,1162119488.3,300512267.47,45987102.268,"-","-",-8475755.285,-0.0061086829336,-0.0042276751955,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",994283187.42,6626.8610516,8107964.4967,12090707.988,389880.3252,85044.716829,"-",0,0,4417.9073677,"-",-4447728.2425,84682269,"-",0,0,981802599.1,280919906.26,0,"-","-",7971009.3682,147.67752443,"-","-"
"ALSO3<XBSP>","Alianscsonae","ALSO3",5444518592.3,3216236.5637,19506165.505,327786637.15,1276538871.2,93967785.235,"-",677044.30411,2848445.7754,227222916.21,"-",0,76423831,"-",0,0,2754958437.5,1874709487.1,"-","-","-",64979686.042,-6.4402178495,"-",24.530430659
