"Ativo","Nome","Código","Ativo Tot| < Jun 2017| personalizado| consolid:sim*","Imobil| < Jun 2017| personalizado| consolid:sim*","Lucro Liquido| < Jun 2017| personalizado| no exercício| consolid:sim*","PasCir| < Jun 2017| personalizado| consolid:sim*","PasNoCir| < Jun 2017| personalizado| consolid:sim*","Receita| < Jun 2017| personalizado| no exercício| consolid:sim*","DeprecAmorExaus| < Jun 2017| personalizado| no exercício| consolid:sim*","DeprAmor| < Jun 2017| personalizado| no exercício| consolid:sim*","Depr e Amor| < Jun 2017| personalizado| de 12 meses| consolid:sim*","CaixaEEqCx| < Jun 2017| personalizado| consolid:sim*","DpInCP| < Jun 2017| personalizado| consolid:sim*","DivPag| < Jun 2017| personalizado| no exercício| consolid:sim*","Qtd Ações|Outstanding|da empresa|30Jun17","Dividendos| < Jun 2017| personalizado| no exercício| consolid:sim*","Div Yld (fim)|30Jun17|1 tri","Divid por Ação|30Jun17|1 tri","Patrim Liq| < Jun 2017| personalizado| consolid:sim*","Valor Mercado|da empresa|30Jun17|personalizado","DesFin| < Jun 2017| personalizado| no exercício| consolid:sim*","LucOpe| < Jun 2017| personalizado| no exercício| consolid:sim*","LucOp(Ant)| < Jun 2017| personalizado| no exercício| consolid:sim*","EBIT| < Jun 2017| personalizado| no exercício| consolid:sim*","EBIT/FinL| < Jun 2017| de 12 meses| consolid:sim*","EBIT/FinB| < Jun 2017| de 12 meses| consolid:sim*","Fechamento|30Jun17|ajus p/prov ed"
"CAML3<XBSP>","Camil","CAML3",4337540547.7,882635363.63,67287583.135,1785244684.1,1077297329,1347531792.4,"-",23412169.023,"-",295353094.01,"-",-109952421.09,123017292,"-","-","-",1474998534.6,"-",60135178.143,"-","-",116605642.09,"-","-","-"
"QVQP3B<XBSP>","524 Particip","QVQP3B",103593.54097,0,-61715.301005,0,0,0,"-",0,0,44082.357861,"-",0,176262000,"-","-","-",103593.54097,"-",0,-61715.301005,-67225.595738,-67225.595738,-8.25,"-","-"
"EALT4<XBSP>","Aco Altona","EALT4",273912342.92,173350566.11,2750739.1305,61332886.551,133486889.89,84671188.861,"-",5192901.756,10644787.364,1534066.0536,"-",-1102.0589465,2250000,"-","-",0,79092566.474,"-",3944268.9696,"-","-",5412211.4864,-2.2752272727,1.3224570674,"-"
"AESL3<XBSP>","AES Sul","AESL3",4197249906.9,24637629.808,-816625.67937,972236402.62,1659110069.9,1666625009.8,"-",0,-76432196.177,162926190.54,"-",0,526451,"-","-",0,1565903434.5,"-",117160988.66,"-","-",71186395.591,-0.13898333238,0.096694859553,"-"
"TIET11<XBSP>","AES Tiete E","TIET11",5675483450.1,3377752262,239122546.1,1648399159,2232535585,884465121.94,"-",96123785.433,184478055.29,220926450.83,"-",-250914576.83,1967385000,"-",3.1284712368,0.094123840231,1794548706.2,5871156220.2,112242499.58,364568813.92,433824402.24,433824402.24,-5.477110438,3.3560211941,15.007243235
"AFLT3<XBSP>","Afluente T","AFLT3",63695700.932,0,8501282.7134,2780494.7221,8186093.8547,13594999.164,"-",0,0,28653.532609,"-",-6687293.6875,63085000,"-",2.5184885834,0.10633494421,52729112.355,266355781.8,230330.31982,10095962.009,8237890.6252,8237890.6252,4.3770697441,29.722316865,"-"
"ALEF3B<XBSP>","Alef S/A","ALEF3B",83673.825514,0,-57185.838735,33.061768396,0,0,"-",0,0,79423.184158,"-",0,65674000,"-","-","-",83640.763746,"-",0,-57185.838735,-60883.2465,-60883.2465,-15.520886615,"-","-"
"BRGE3<XBSP>","Alfa Consorc","BRGE3",3552754814.4,1913174.3312,23087032.871,1416783838.4,399188893.67,13110093.227,"-",523477.9996,1001771.5823,1744559.3123,"-",-2936987.0925,73646388,"-",0,0,1173967190.7,334144651.67,79905885.976,"-","-",-11908848.976,-0.047346581098,-0.034473699026,"-"
"RPAD3<XBSP>","Alfa Holding","RPAD3",1005222128.9,6612.3536791,18586224.133,14069986.57,389026.80812,168615.01882,"-",0,0,18735.002091,"-",-4441297.5545,84682269,"-",0,0,990763115.57,277448001.73,0,"-","-",18232463.211,99.21040724,"-","-"
"ALSO3<XBSP>","Alianscsonae","ALSO3",5505328855,3634590.4056,79648004.183,293449643.92,1286211894.4,190864486.89,"-",1305939.8516,2746330.8947,193241628.04,"-",-38321895.747,76423831,"-",2.3700533314,0.50253696308,2809111886.7,1620461422.9,43239282.767,"-","-",228461227.85,-7.8617732868,5.1633504305,21.203614131
"APTI4<XBSP>","Aliperti","APTI4",464359149.47,350257476.44,-8469323.004,31432925.273,143192723.04,18735002.091,"-",1498800.1673,3046090.9282,60613.242059,"-",0,18215,"-","-",0,289718072.33,"-",3842879.5465,"-","-",-4284805.1841,1.1652130576,-0.69366562825,"-"
"FRRN3B<XBSP>","All Norte","FRRN3B",13229157472,4840910740.8,210791916.76,1317842088.2,8560721160.7,1719042239.5,"-",194956431.76,418751542.03,162885414.35,"-",-202345736.99,1189412363,"-","-","-",3350594223.3,"-",666928604.43,"-","-",682815886.2,-1.3428286506,"-","-"
"AALR3<XBSP>","Alliar","AALR3",2502649130.8,592342356.99,10734054.139,519195398.53,594494678.11,583740786.91,"-",46189494.566,81487340.565,56375825.409,"-",0,118018378,"-",0,0,1342686905.1,2281308691.6,"-","-","-",62603560.516,-1.5771151377,"-",19.330113922
"ALPA4<XBSP>","Alpargatas","ALPA4",4087197198.5,811360041.72,266504302.68,1248480702.3,369539099.77,1837181856.5,"-",53031076.506,108433783.86,407941445.82,"-",-47259593.804,463054000,"-",0.60239580773,0.072813885598,2378715989.9,6887218917.3,74426448.894,"-","-",300222898.21,-7.6091051324,3.3222917992,12.087382525
"ALTR3<XBSP>","Altere Sec","ALTR3",7714.4126256,0,1102.0589465,4408.2357861,0,50694.71154,"-","-","-",6612.3536791,"-",0,36218984,"-","-","-",3306.1768396,"-",61715.301005,5510.2947326,-39674.122075,-39674.122075,34.954545454,-4.9612903226,"-"
