"Ativo","Nome","Classe","Pais Sede","Ativo /|Cancelado","Data do Bal| Mais recente| consolid:sim*","Setor|Economatica","Tipo de Ativo","Bolsa / Fonte","Setor Econômico|Bovespa","ID da|empresa","Código","Setor NAICS|ult disponiv","Subsetor Bovespa","Segmento Bovespa","Segmento listagem|Bovespa"
"CAML3<XBSP>","Camil","ON","BR","ativo","2020-05-31","Alimentos e Beb","Ação","Bovespa","Consumo não cíclico","02422","CAML3","Outras indústrias de alimentos","Alimentos processados","Alimentos diversos","Novo Mercado"
"QVQP3B<XBSP>","524 Particip","ON","BR","ativo","2020-03-31","Energia Elétrica","Ação","Bovespa","Financeiro","01628","QVQP3B","Empresa de eletricidade, gás e água","Outros","Outros","Balcão Organizado"
"EALT4<XBSP>","Aco Altona","PN","BR","ativo","2020-03-31","Siderur & Metalur","Ação","Bovespa","Bens industriais","00538","EALT4","Transformação de aço em produtos de aço","Máquinas e equipamentos","Máq. e equip. construção e agrícolas","Tradicional"
"AESL3<XBSP>","AES Sul","ON","BR","cancelado","2020-03-31","Energia Elétrica","Ação","Bovespa","-","01652","AESL3","Geração, transmissão e distribuição de energia elétrica","-","-","-"
"TIET11<XBSP>","AES Tiete E","UNT N2","BR","ativo","2020-03-31","Energia Elétrica","Ação","Bovespa","Utilidade pública","01897","TIET11","Geração, transmissão e distribuição de energia elétrica","Energia elétrica","Energia elétrica","Nível 2"
"AFLT3<XBSP>","Afluente T","ON","BR","ativo","2020-03-31","Energia Elétrica","Ação","Bovespa","Utilidade pública","02217","AFLT3","Empresa de eletricidade, gás e água","Energia elétrica","Energia elétrica","Tradicional"
"ALEF3B<XBSP>","Alef S/A","ON","BR","ativo","2020-03-31","Outros","Ação","Bovespa","Financeiro","01670","ALEF3B","Administração de empresas e empreendimentos","Outros","Outros","Balcão Organizado"
"BRGE3<XBSP>","Alfa Consorc","ON","BR","ativo","2020-03-31","Outros","Ação","Bovespa","Financeiro","00470","BRGE3","Administração de empresas e empreendimentos","Previdência e seguros","Bancos","Tradicional"
"RPAD3<XBSP>","Alfa Holding","ON","BR","ativo","2020-03-31","Outros","Ação","Bovespa","Financeiro","00995","RPAD3","Administração de empresas e empreendimentos","Intermediários financeiros","Bancos","Tradicional"
"ALSO3<XBSP>","Alianscsonae","ON","BR","ativo","2020-03-31","Outros","Ação","Bovespa","Financeiro","02235","ALSO3","Locadora de imóveis","Exploração de imóveis","Exploração de imóveis","Novo Mercado"
