"Código","year","Quarter","Quarter_index","NOME","CLASSE","SETOR_ECONOMATICA","SETOR_NUM","SETOR_NAICS","SEGMENTO_LIST_BOVESPA","SETOR_ECON_BOVESPA","SEGMENTO_BOVESPA","SUBSETOR_BOVESPA","ID_CVM","kz","kz_dum","PU","AT","K","LL","D_CP","D_LP","V","DEP","CAIXA","PL","DESP_FIN","EBIT","V_MERC","QTD_ACOES","DIV_PAGOS","INV_AT","FC_AT","D_AT","CV","TAM","INV_K","FC_K","D_K","ALAVANC","CAIXA_AT","CAIXA_K","DIVIDENDOS_AT","DIVIDENDOS_K","QTB","COB_JUROS","ROA","LN_PU","DIV_PL","ROE","ROK","INV_AT_L1","INV_K_L1","INV_AT_L1_quad","INV_K_L1_quad","LN_PU_FC_AT","LN_PU_FC_K"
"CAML3",2018,74,"2","Camil","ON","Alimentos e Beb",2,"Outras indústrias de alimentos","Novo Mercado","Consumo não cíclico","Alimentos diversos","Alimentos processados",2422,1.89316602760358,1,161.417689005534,4732679038.4,925445401.42,34805744.698,1280845846,1398962383.5,1073670474.1,26365947.579,611763959,2052870808.8,45554593.339,61246522.65,2817139299.5,404317405,0,0.162577280081224,0.0150267573711069,0.658291875978274,-0.786128699621412,22.2777572720067,0.0443989757560885,0.0690344915662625,3.02426157806618,0.566234939621555,0.150279128108038,0.690397997768128,0,0,1.16148749670089,1.34446426059007,0.00735434294520994,5.08399534713864,1.30539545791801,0.0169546688222166,0.0392795556142395,0.0197022080050166,0.0149888312651304,0.00038817700027294,0.000224665062694551,0.0763959645572888,0.35097103391496
"CAML3",2018,75,"3","Camil","ON","Alimentos e Beb",2,"Outras indústrias de alimentos","Novo Mercado","Consumo não cíclico","Alimentos diversos","Alimentos processados",2422,1.86897279318519,1,147.530364990234,4628441424.6,962229593.07,117567421.52,1098538334.4,1378710269.7,2264336890.4,52998072.094,388730463.94,2151192820.6,112856551.99,175108907.69,2974325765,404230305,0,-0.0220250756398725,0.0360399452889296,0.523434736224474,1.10896820302158,22.2554860230171,0.0397475546299745,0.184306381934888,2.67681767103594,0.535223064697328,0.082137508330043,0.420046891306103,0,0,1.17784235966023,1.55160603972303,0.0254010822941678,4.99403401893329,1.15156976184453,0.0546522005810751,0.127038744089716,0.162577280081224,0.0443989757560885,0.0264313719986087,0.00197126904818973,0.179984712813409,0.920432341289342
"CAML3",2018,76,"4","Camil","ON","Alimentos e Beb",2,"Outras indústrias de alimentos","Novo Mercado","Consumo não cíclico","Alimentos diversos","Alimentos processados",2422,1.63059231575036,1,239.847081502279,4514353906.5,913442702.72,273882446.61,962338257.52,1365367665.9,3572810454.5,77518082.576,232797883.76,2186647983.2,178457638.86,307389197.06,2975449754.3,404230305,20912963.708,-0.0246492301908866,0.0759219998590279,0.502913553372054,0.577861699664689,22.2305279142401,-0.0507019225986857,0.365194057340155,2.41907538510995,0.51562327003352,0.0502972517968333,0.241935901199273,0.00451835980830358,0.0217338604618021,1.17473193009619,1.72247710450292,0.0606692457619793,5.48000155986186,1.06450875554902,0.125252189064832,0.284633156766855,-0.0220250756398725,0.0397475546299745,0.000485103956942105,0.00157986809906281,0.416052677655305,2.00126400387633
"CAML3",2019,78,"2","Camil","ON","Alimentos e Beb",2,"Outras indústrias de alimentos","Novo Mercado","Consumo não cíclico","Alimentos diversos","Alimentos processados",2422,1.83335547479432,1,165.309499104818,5772612766.8,1092776265.5,50860771.321,1688151878.5,1797726126.5,1263630827.9,34426064.116,644228265.34,2286734761.9,51683017.393,50294902.596,2956573112.4,403182505,20428473.841,0.255546000880659,0.0185499269544893,0.758180111076769,-0.743226383053172,22.4763906341775,0.0850699868000445,0.0846853910754554,3.46129552799288,0.603864860811023,0.140119951723404,0.63968515554174,0.00444320270063446,0.0202844118606993,1.11603729154542,0.973141761703952,0.00881070208164928,5.10781946902475,1.5243910501031,0.0222416574796549,0.050502100208652,0.0184605082423881,0.102534510266606,0.000340790364567279,0.0105133257956127,0.0947496780471274,0.432557689277186
"CAML3",2019,79,"3","Camil","ON","Alimentos e Beb",2,"Outras indústrias de alimentos","Novo Mercado","Consumo não cíclico","Alimentos diversos","Alimentos processados",2422,1.79809632591921,1,142.856068929036,5488470835.6,1115357189.2,91551155.312,1672838749.6,1515918059.3,2505625465.2,68693150.724,539336084.54,2299714026.7,101603463.81,106118449.21,2742743069.9,400665030,26474880.58,-0.0492224132604536,0.0277594067902168,0.552394026365233,0.982877759767893,22.4259155173488,0.0206638123583954,0.146639628893001,2.91803263812742,0.580991847167464,0.0934301513591698,0.493546667847171,0.004586290757673,0.0242271738651703,1.0807199412132,1.04443731769266,0.0166806307356449,4.96183761240182,1.38658840702717,0.0398097999355913,0.0837784990417144,0.255546000880659,0.0850699868000445,0.0653037585660978,0.00723690265415975,0.13773766870966,0.727602026109937
"CAML3",2019,80,"4","Camil","ON","Alimentos e Beb",2,"Outras indústrias de alimentos","Novo Mercado","Consumo não cíclico","Alimentos diversos","Alimentos processados",2422,1.66992231093629,1,177.479120890299,5239581916.3,1108590296.4,157953619.36,1552665701.6,1537193830.5,3952957271.5,104756342.89,306144802.92,2149722384.1,144915775.98,203706051.35,3336965311,3.7e+08,56699481.967,-0.0453475889287096,0.0478657844997514,0.562972752275218,0.577632940916999,22.3795075451306,-0.00606701858877475,0.235538861266884,2.77028700941644,0.589714901211224,0.0557796173269694,0.274481400115048,0.0103306519548631,0.0508352683033031,1.22659115665442,1.40568581972824,0.0301462257644291,5.17885297320961,1.43732956169296,0.0734762872305154,0.141617071992241,-0.0492224132604536,0.0206638123583954,0.00242284596718288,0.000426993141182974,0.247889860371548,1.21982113197841
"EALT4",2013,56,"4","Aco Altona","PN","Siderur & Metalur",14,"Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos",538,2.43203575320729,1,110.412976582845,365727458.54,236540195.93,12863592.591,67913515.746,201476577.28,251748714.25,13797375.517,1215732.3293,96337365.521,14817697.368,25279136.873,80711506.249,2250000,764892.4414,-0.055883050925353,0.0688246706167085,0.69542427509808,0.306048085340368,19.7173989651792,-0.0156035506532928,0.110953498784738,1.12110607679741,0.736587004148556,0.00313838480220263,0.00505944701539472,0.00197455209140619,0.00318321121061859,0.957274580018194,1.70600979660931,0.0351726190927857,4.70422766844681,2.79631990732897,0.133526514052286,0.053533712621809,0.0213509316692705,0.00872833757427261,0.000455862283145858,7.61838768104591e-05,0.323766919786858,0.521950518894144
"EALT4",2014,57,"1","Aco Altona","PN","Siderur & Metalur",14,"Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos",538,2.53209622201794,1,185.944798787435,367390514.35,239017829.79,4316793.1217,68589198.053,200198111.39,66859748.657,3322291.4152,1221269.9528,98603204.913,3749872.506,8727845.3337,70141057.859,2250000,0,0.0045472544408861,0.0208873694291251,0.73493882716931,-0.734418708527724,19.7219359120941,0.010474472849144,0.0322950799413418,1.1363282607686,0.731612001235683,0.00333928974782305,0.00516305462586754,0,0,0.922528900621301,2.32750455375082,0.0117498763661262,5.22544984895238,2.72594901636471,0.0437794402880597,0.0182497232858363,-0.055883050925353,-0.0156035506532928,0.0031229153807256,0.000243470792989874,0.109145901428434,0.16875632060139
"EALT4",2014,58,"2","Aco Altona","PN","Siderur & Metalur",14,"Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos",538,2.07570304584627,1,108.214881896973,360201784.14,235948575.61,6843983.2367,66693520.151,193805675.88,128410454.1,6620649.0088,11243398.448,99702588.111,5849742.3065,13928790.731,78138578.538,2250000,3577383.807,-0.0195670000427708,0.0366493736761878,0.709052590788535,0.920594328865396,19.7021749438865,-0.0128411097310046,0.0563331708656629,1.08987348876807,0.723203513973449,0.0306033988599085,0.0470399988899506,0.00973727863749893,0.0149670165198265,0.940133529259204,2.38109475617804,0.0190004145955033,4.68411889759199,2.61276262699403,0.0686439877476452,0.0286337769977792,0.0045472544408861,0.010474472849144,2.06775229501584e-05,0.000109714581467455,0.171670023821542,0.26387127021313
"EALT4",2014,59,"3","Aco Altona","PN","Siderur & Metalur",14,"Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos",538,2.00587122678066,1,160.586461385091,362120225.49,233900084.41,9524177.5623,69171040.769,191332161.07,184029579.98,9965828.2731,17608653.865,101617023.64,7760243.3038,18143705.028,64712503.458,2250000,3547882.8997,0.0053260184554066,0.0541085766188898,0.723214634988454,0.433135497182234,19.7074868292655,-0.00868193925182229,0.0826027696289851,1.10406770274209,0.719383186880588,0.0488855265029893,0.0746292018058434,0.00984970940155322,0.0150366786090046,0.89808765819953,2.33803301233036,0.0263011477732635,5.07883249774183,2.56357835043357,0.093726200799203,0.040365480222447,-0.0195670000427708,-0.0128411097310046,0.000382867490673792,0.000164894099123701,0.274808397338571,0.419525630795171
