"Código","year","Quarter","Quarter_index","NOME","CLASSE","SETOR_ECONOMATICA","SETOR_NUM","SETOR_NAICS","SEGMENTO_LIST_BOVESPA","SETOR_ECON_BOVESPA","SEGMENTO_BOVESPA","SUBSETOR_BOVESPA","ID_CVM","kz","kz_dum","PU","AT","K","LL","D_CP","D_LP","V","DEP","CAIXA","PL","DESP_FIN","EBIT","V_MERC","QTD_ACOES","DIV_PAGOS","INV_AT","FC_AT","D_AT","CV","TAM","INV_K","FC_K","D_K","ALAVANC","CAIXA_AT","CAIXA_K","DIVIDENDOS_AT","DIVIDENDOS_K","QTB","COB_JUROS","ROA","LN_PU","DIV_PL","ROE","ROK","INV_AT_L1","INV_K_L1","INV_AT_L1_quad","INV_K_L1_quad","LN_PU_FC_AT","LN_PU_FC_K"
"CAML3",2018,73,"1","Camil","ON","Alimentos e Beb",2,"Outras indústrias de alimentos","Novo Mercado","Consumo não cíclico","Alimentos diversos","Alimentos processados",2422,0.0585659946338678,0,111.55797068278,4070851133.5,886103321.53,269868609.39,710332636.45,1399906066.3,5020170879.4,97124276.859,297646240.85,1960612430.8,194970959.47,430185625.15,3264314179,407349976,177640757.78,0.0197022080050166,0.0919275709570084,0.52859094917621,0.301052739184486,22.1271179382477,0.0149888312651304,0.420372739437788,2.41717716495678,0.518377762664526,0.0745570199070847,0.340939485035632,0.0444970024694101,0.203478963167468,1.32025286739707,2.20640872014682,0.0662929202124802,4.71454437222794,1.07631608858511,0.137645056794771,0.309121541229465,-0.0383191587999564,-0.00467682068781155,0.00146835793113628,2.18726517459421e-05,0.433396612307949,1.98186593295447
"CAML3",2019,77,"1","Camil","ON","Alimentos e Beb",2,"Outras indústrias de alimentos","Novo Mercado","Consumo não cíclico","Alimentos diversos","Alimentos processados",2422,1.11733669479307,0,146.677968343099,4597691174,1007102102.9,375540048.48,1147824825.7,1202022048.6,4921186385.6,105096953.13,378560850.11,2247844299.8,225786009.66,395845224.19,2810915393.3,404230305,67359213.082,0.0184605082423881,0.10646861357457,0.520527836977196,0.377399234656209,22.2488200957425,0.102534510266606,0.526181883306731,2.57251699236608,0.511092804044191,0.0838571494283885,0.41443305527839,0.0149211192735715,0.0737421327921515,1.1224682285718,1.75318756368512,0.0816801377621193,4.98823949216023,1.0453779536728,0.167066753027963,0.411126004249349,-0.0246492301908866,-0.0507019225986857,0.000607584549003315,0.00257068495520312,0.531090942908217,2.62472125036988
"EALT4",2018,75,"3","Aco Altona","PN","Siderur & Metalur",14,"Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos",538,1.37091001223636,0,147.530364990234,315939016.68,169924682.83,10204767.559,131342360.12,81326840.563,192659009.9,7305590.5804,1360495.9216,103269816,8387279.1713,16591132.467,116515973.24,22500000,7430320.1757,0.0502757069574337,0.0582096632672731,0.706975977334393,0.579811360721056,19.5710597677373,0.036944823474259,0.10685484255396,1.29778807344469,0.673133704459122,0.00452269501528014,0.00830226180073171,0.0247006047479017,0.0453426301266468,1.04192631028037,1.97813046735971,0.0322998016080297,4.99403401893329,2.0593548911039,0.0988165560302732,0.0622733596957752,0.07599181810731,-0.0170551351013376,0.00577475641925449,0.000290877633324878,0.290701038587413,0.533636718802237
"EALT4",2018,76,"4","Aco Altona","PN","Siderur & Metalur",14,"Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos",538,1.1368036094112,0,239.847081502279,362412368.77,227365574.4,12788961.182,121360966.68,79611257.26,257847550.22,10367734.879,2014034.2984,161440144.82,12345226.306,21048694.378,98500662.028,22500000,6065072.7006,0.147095957246302,0.073294828553747,0.636110810408565,0.338362272046536,19.7082932617107,0.338037362279301,0.136276235302242,1.18271354457116,0.554540190302086,0.00637475649435195,0.0118525117414221,0.0191969727713087,0.0356927116154618,0.826331857779546,1.70500676587597,0.0352884235861065,5.48000155986186,1.24487142999083,0.0792179739200509,0.0752625278976959,0.0502757069574337,0.036944823474259,0.00252764671006975,0.00136491998154416,0.401655774804341,0.746793982028388
"EALT4",2019,80,"4","Aco Altona","PN","Siderur & Metalur",14,"Transformação de aço em produtos de aço","Tradicional","Bens industriais","Máq. e equip. construção e agrícolas","Máquinas e equipamentos",538,1.30511057919795,0,177.479120890299,368838918.88,190566474.46,16867505.311,118674125.84,87227354.33,299487056.2,10180962.347,4989882.7355,162937438.7,12693420.856,27100518.592,221799286.58,22500000,6578437.1791,-0.0231186090222143,0.0716387109847303,0.545336498012822,0.265599522442588,19.7258705724955,-0.029697147715838,0.137722048922001,1.04838374149813,0.558242283110507,0.0132158601979234,0.0254068689917199,0.0174231962329061,0.0334952744261044,1.15958686802558,2.13500512583966,0.0457313598093692,5.17885297320961,1.26368428160397,0.103521360379651,0.0858838815198678,0.0713658173578283,0.0521472684332298,0.00509307988715091,0.00271933760504733,0.371006351380174,0.713242242536224
"TIET11",2016,67,"3","AES Tiete E","UNT N2","Energia Elétrica",6,"Geração, transmissão e distribuição de energia elétrica","Nível 2","Utilidade pública","Energia elétrica","Energia elétrica",1897,-4.08682465875986,0,276.11435953776,4629411585.5,3485221392.3,309398231,988362075.61,1778958944.5,1345407562.3,131800033.59,8192847.5421,1862090565.4,192757155.95,581956170.99,7403938840.1,1967385000,754221659.31,0.0111688138548397,0.0963677386727973,0.604445870016107,0.490511231002051,22.2556956096033,-0.0200274637985076,0.124055872970707,0.778113724583573,0.597769493810332,0.00178950429838354,0.00230366013541696,0.164739169663989,0.212071610132163,2.19709560758605,3.01911577872085,0.0668331655731542,5.62081512605079,1.48613664207871,0.166156381837173,0.0869964157224553,-0.109444681775493,-0.0181021735972057,0.0119781383689389,0.000327688688943371,0.541665243195369,0.697295127269185
"TIET11",2016,68,"4","AES Tiete E","UNT N2","Energia Elétrica",6,"Geração, transmissão e distribuição de energia elétrica","Nível 2","Utilidade pública","Energia elétrica","Energia elétrica",1897,-4.64250560709188,0,312.548034667969,4571495103.3,3444927350.6,399804919.94,923252488.45,1888483417.4,1741079934.5,179518746.24,80384057.978,1759759197.5,248970233.34,718552253.47,6160798247.7,1967385000,857261197.95,-0.0125105493711993,0.125139805670882,0.607363560988349,0.294091086810595,22.2431061444318,-0.0115614008880535,0.166222916988836,0.806759625676019,0.615058277933964,0.0173637743141644,0.0230642616149421,0.177297778754087,0.245970370732824,1.96271328106051,2.88609703991692,0.0874560534148653,5.74475816830164,1.59779582902279,0.227192970781447,0.114714353820765,0.0111688138548397,-0.0200274637985076,0.000124742402924059,0.000401099306200532,0.718897920807479,0.954910460130541
"TIET11",2017,70,"2","AES Tiete E","UNT N2","Energia Elétrica",6,"Geração, transmissão e distribuição de energia elétrica","Nível 2","Utilidade pública","Energia elétrica","Energia elétrica",1897,0.396912177273649,0,396.332616170247,5675483450.1,3377752262,239122546.1,1648399159,2232535585,884465121.94,96123785.433,220926450.83,1794548706.2,112242499.58,433824402.24,5871156220.2,1967385000,250914576.83,0.2077575299561,0.0713412848190061,0.825872932507919,0.986278755104341,22.4594215861304,-0.00533548677413783,0.0987217543798147,1.14283931105013,0.683806899985452,0.0470137190782764,0.0650573765121023,0.0533952697081411,0.0738881380471962,1.71828374621164,3.86506362441434,0.04213254222348,5.98225379852628,2.16262435819754,0.133249404306416,0.0704156766005846,0.0279330953472574,-0.0142402028859784,0.000780257815678973,0.000202783378233828,0.426781672100244,0.590578590135825
"TIET11",2017,71,"3","AES Tiete E","UNT N2","Energia Elétrica",6,"Geração, transmissão e distribuição de energia elétrica","Nível 2","Utilidade pública","Energia elétrica","Energia elétrica",1897,0.21212070331439,0,301.128428141276,7271237322.4,5061803547.6,279288074.04,2013062668.7,3545259949.3,1382603163.6,157741963.82,260393658.79,1712914704.4,200222078.46,546190588.28,6219103496.2,1967081000,361550979.28,0.281166157267516,0.0770031384466991,0.979356678046883,0.563208236597703,22.7071923096636,0.498571581032073,0.129384870162512,1.64556846886955,0.764425966523862,0.0458804366323034,0.0770908102762452,0.0637039967535505,0.107038927439256,1.61972792139765,2.7279238757334,0.0384099791626408,5.70753684531615,3.24495002799744,0.163048442121833,0.0826845938886681,0.2077575299561,-0.00533548677413783,0.0431631912534598,2.84674191169997e-05,0.439498249889516,0.738468913678983
"TIET11",2017,72,"4","AES Tiete E","UNT N2","Energia Elétrica",6,"Geração, transmissão e distribuição de energia elétrica","Nível 2","Utilidade pública","Energia elétrica","Energia elétrica",1897,0.650672060265444,0,228.669570922852,7385081335.5,5114967402.4,323090057.84,2162341062.9,3535469205.1,1871884209,229148414.85,145789518.32,1687271067.5,319833994.8,683066998.77,5497253661.1,1967081000,387372931.05,0.0156567593728909,0.0759483493942299,0.783609448483706,0.353883933062917,22.7227277664778,0.0105029470820151,0.109099151615996,1.12564824265089,0.77152979217855,0.0200501664099006,0.0288018918452741,0.0532746923080955,0.0765286379463835,1.51590259071156,2.13569229623992,0.0437490182114732,5.43227803980592,3.37693828676998,0.191486752818394,0.0638290393536094,0.281166157267516,0.498571581032073,0.0790544079925815,0.248573621412821,0.412572550573782,0.592656925485032
